completed_at,course_title
2024-10-15T00:00:00.000Z,Developing LLM Applications with LangChain
2024-08-17T00:00:00.000Z,Web Scraping in Python
2024-09-01T00:00:00.000Z,Working with Categorical Data in Python
2024-06-11T00:00:00.000Z,Python Toolbox
2024-10-14T00:00:00.000Z,Introduction to Embeddings with the OpenAI API
2024-09-25T00:00:00.000Z,ChatGPT Prompt Engineering for Developers
2024-09-10T00:00:00.000Z,Working with Hugging Face
2024-09-03T00:00:00.000Z,Working with the OpenAI API
2024-09-26T00:00:00.000Z,Large Language Models (LLMs) Concepts
2024-11-02T00:00:00.000Z,Understanding Data Visualization
2024-08-13T00:00:00.000Z,Understanding Machine Learning
2024-07-21T00:00:00.000Z,Object-Oriented Programming in Python
2024-07-15T00:00:00.000Z,Understanding Artificial Intelligence
2024-06-10T00:00:00.000Z,Introduction to Functions in Python
2024-10-04T00:00:00.000Z,Developing AI Systems with the OpenAI API
2024-10-18T00:00:00.000Z,Software Engineering Principles in Python
2024-10-03T00:00:00.000Z,LLMOps Concepts
2024-04-27T00:00:00.000Z,Introduction to Power BI
2024-09-15T00:00:00.000Z,Introduction to Importing Data in Python
2024-08-21T00:00:00.000Z,Introduction to Data Visualization with Matplotlib
2024-10-13T00:00:00.000Z,Introduction to APIs in Python
2024-08-28T00:00:00.000Z,Developing Python Packages
2024-09-02T00:00:00.000Z,Understanding Data Science
