completed_at,exercise_title
2024-07-20T00:00:00.000Z,Correct use of __init__
2024-08-13T00:00:00.000Z,Congratulations!
2024-08-28T00:00:00.000Z,Tracking version number with bumpversion
2024-08-28T00:00:00.000Z,Running your tests
2024-09-01T00:00:00.000Z,Setting dtypes and saving memory (2)
2024-08-14T00:00:00.000Z,Off the Beaten XPath
2024-07-21T00:00:00.000Z,Square and rectangle (3)
2024-10-03T00:00:00.000Z,Trying out prompt engineering
2024-08-14T00:00:00.000Z,Choose DataCamp!
2024-07-21T00:00:00.000Z,String representation of objects (2)
2024-09-25T00:00:00.000Z,Market research report summarization
2024-09-15T00:00:00.000Z,Filtering your INNER JOIN
2024-07-20T00:00:00.000Z,Alternative constructors
2024-09-25T00:00:00.000Z,Congratulations
2024-07-21T00:00:00.000Z,Using internal attributes
2024-10-14T00:00:00.000Z,Congratulations!
2024-07-21T00:00:00.000Z,Attribute naming conventions
2024-07-21T00:00:00.000Z,Create and set properties (1)
2024-08-21T00:00:00.000Z,"""Step"" histogram"
2024-06-15T00:00:00.000Z,Bringing it all together: Festivus! (3)
2024-08-28T00:00:00.000Z,Writing function documentation with pyment II
2024-09-05T00:00:00.000Z,Why we like flat files and the Zen of Python
2024-09-10T00:00:00.000Z,Summarizing several inputs
2024-09-03T00:00:00.000Z,Creating a podcast transcript
2024-10-13T00:00:00.000Z,Product recommendation system
2024-09-01T00:00:00.000Z,Creating a Boolean encoding (1)
2024-10-18T00:00:00.000Z,Adding functionality to a child class
2024-08-14T00:00:00.000Z,Hyper(link) Active
2024-10-18T00:00:00.000Z,Row selection: loc[] vs iloc[] (1)
2024-06-13T00:00:00.000Z,Practice with NumPy arrays
2024-10-12T00:00:00.000Z,The basic anatomy of an API request
2024-11-01T00:00:00.000Z,Plotting many variables at once
2024-09-01T00:00:00.000Z,Using saved mappings
2024-06-10T00:00:00.000Z,Bringing it all together
2024-09-10T00:00:00.000Z,Automatic speech recognition
2024-09-19T00:00:00.000Z,Traditional models vs. LLMs
2024-09-26T00:00:00.000Z,Text preprocessing and representation
2024-07-20T00:00:00.000Z,Class-level attributes (2)
2024-07-14T00:00:00.000Z,Crafting a docstring (1)
2024-10-03T00:00:00.000Z,Compare RAG with fine-tuning
2024-10-03T00:00:00.000Z,Alert handling
2024-07-14T00:00:00.000Z,Crafting a docstring
2024-09-01T00:00:00.000Z,Setting dtype when reading data (3)
2024-09-05T00:00:00.000Z,Using pandas to import flat files as DataFrames (1)
2024-09-26T00:00:00.000Z,"Training, tuning & feedback"
2024-10-13T00:00:00.000Z,Sorting by similarity
2024-10-04T00:00:00.000Z,Defining a function with external APIs
2024-08-17T00:00:00.000Z,Your First Spider
2024-09-25T00:00:00.000Z,Code generation and explanation
2024-07-20T00:00:00.000Z,Create a subclass (1)
2024-11-01T00:00:00.000Z,Sorting dot plots
2024-06-10T00:00:00.000Z,Functions with variable-length keyword arguments (**kwargs)
2024-10-13T00:00:00.000Z,Choosing a vector database solution
2024-10-13T00:00:00.000Z,Using request and response headers
2024-06-10T00:00:00.000Z,Bringing it all together (3)
2024-10-13T00:00:00.000Z,Handling errors with Requests (1)
2024-07-20T00:00:00.000Z,Using attributes in class definition (2)
2024-11-01T00:00:00.000Z,Interpreting scatter plots
2024-09-15T00:00:00.000Z,The power of SQL lies in relationships between tables: INNER JOIN
2024-09-15T00:00:00.000Z,Importing Stata files
2024-06-11T00:00:00.000Z,Writing a function to help you
2024-09-10T00:00:00.000Z,Embeddings
2024-06-13T00:00:00.000Z,Built-in practice: range()
2024-08-21T00:00:00.000Z,Stacked bar chart
2024-08-14T00:00:00.000Z,Single vs. multi-task learning
2024-10-18T00:00:00.000Z,Making your package portable
2024-09-01T00:00:00.000Z,Updating categories
2024-09-01T00:00:00.000Z,Reordering categories in a Series (1)
2024-07-20T00:00:00.000Z,Customizing a DataFrame (1)
2024-09-15T00:00:00.000Z,Final Thoughts
2024-07-14T00:00:00.000Z,Retrieving docstrings
2024-06-09T00:00:00.000Z,Write a simple function
2024-08-13T00:00:00.000Z,To black box or not to black box?
2024-09-25T00:00:00.000Z,Translation for multilingual communication
2024-07-20T00:00:00.000Z,Customizing a DataFrame
2024-08-21T00:00:00.000Z,Encoding time by color
2024-08-28T00:00:00.000Z,Testing your package with different environments
2024-11-02T00:00:00.000Z,Rose plots
2024-04-27T00:00:00.000Z,Sorting and more formatting
2024-06-11T00:00:00.000Z,Turning this all into a DataFrame
2024-08-28T00:00:00.000Z,Wrap-up
2024-09-01T00:00:00.000Z,Overcoming pitfalls: string issues
2024-04-27T00:00:00.000Z,Changing visuals
2024-09-10T00:00:00.000Z,Iterating over a dataset (1)
2024-08-17T00:00:00.000Z,Self Referencing is Classy
2024-08-15T00:00:00.000Z,Selecting from a Selection (1)
2024-07-21T00:00:00.000Z,Square and rectangle
2024-08-21T00:00:00.000Z,Plotting time-series: putting it all together
2024-06-15T00:00:00.000Z,Using %mprun: Hero BMI 2.0
2024-07-20T00:00:00.000Z,Alternative constructors (2)
2024-09-02T00:00:00.000Z,Creating an AI chatbot
2024-10-14T00:00:00.000Z,Multiple queries and filtering
2024-08-14T00:00:00.000Z,Challenges of language modeling
2024-04-26T00:00:00.000Z,Transform before load
2024-04-27T00:00:00.000Z,Editing properties
2024-08-13T00:00:00.000Z,Computer vision
2024-08-28T00:00:00.000Z,Exposing functions to users
2024-10-18T00:00:00.000Z,Adding classes to a package
2024-09-10T00:00:00.000Z,Filtering out audio files (1)
2024-09-05T00:00:00.000Z,Importing flat files using pandas
2024-10-04T00:00:00.000Z,Function calling definition
2024-09-03T00:00:00.000Z,Creating meeting summaries
2024-08-17T00:00:00.000Z,Inheriting the Spider
2024-09-01T00:00:00.000Z,Bar plot using hue (3)
2024-10-05T00:00:00.000Z,Investigating the vector space
2024-10-13T00:00:00.000Z,Semantic search for products
2024-10-13T00:00:00.000Z,API key authentication with requests (1)
2024-07-21T00:00:00.000Z,Comparison and inheritance (1)
2024-09-25T00:00:00.000Z,Incorporating external context
2024-07-15T00:00:00.000Z,A tree inside the white-box
2024-09-01T00:00:00.000Z,Creating a count plot
2024-07-14T00:00:00.000Z,"DRY and ""Do One Thing"""
2024-11-01T00:00:00.000Z,Interpreting line plots
2024-09-01T00:00:00.000Z,Removing categories (4)
2024-09-01T00:00:00.000Z,Ordinal categorical variables
2024-08-28T00:00:00.000Z,Ignoring specific errors
2024-09-15T00:00:00.000Z,How to import SAS7BDAT
2024-10-15T00:00:00.000Z,Prompting strategies for chatbots
2024-09-15T00:00:00.000Z,Importing SAS/Stata files using pandas
2024-09-10T00:00:00.000Z,Iterating over a dataset (2)
2024-06-15T00:00:00.000Z,Using %timeit: your turn! (3)
2024-08-28T00:00:00.000Z,History file
2024-10-12T00:00:00.000Z,Using the requests package
2024-09-01T00:00:00.000Z,Adding categories (4)
2024-09-02T00:00:00.000Z,Clustering
2024-07-20T00:00:00.000Z,Create a subclass
2024-06-11T00:00:00.000Z,Dict comprehensions
2024-10-03T00:00:00.000Z,Choosing the right metric
2024-09-05T00:00:00.000Z,Importing text files line by line
2024-08-14T00:00:00.000Z,Business applications
2024-06-11T00:00:00.000Z,Advanced comprehensions
2024-09-15T00:00:00.000Z,The Hello World of SQL Queries!
2024-10-18T00:00:00.000Z,Adding functionality to your package (2)
2024-09-25T00:00:00.000Z,Modifying code with multi-step prompts
2024-09-26T00:00:00.000Z,Masked language
2024-10-13T00:00:00.000Z,Embedding restaurant reviews
2024-07-15T00:00:00.000Z,An academic Proof-of-Concept (PoC)
2024-07-15T00:00:00.000Z,Unboxing the SHAP
2024-09-01T00:00:00.000Z,Create a label encoding and map (3)
2024-11-05T00:00:00.000Z,Measuring model performance
2024-09-15T00:00:00.000Z,Importing HDF5 files
2024-10-03T00:00:00.000Z,Prompt compression
2024-09-05T00:00:00.000Z,Customizing your spreadsheet import
2024-07-21T00:00:00.000Z,Handling exception hierarchies (1)
2024-09-01T00:00:00.000Z,Updating categorical plots (3)
2024-10-04T00:00:00.000Z,Safety best practices
2024-09-01T00:00:00.000Z,Overcoming pitfalls: using NumPy arrays (1)
2024-07-20T00:00:00.000Z,Exploring object interface
2024-10-18T00:00:00.000Z,Column selection: .iloc[] vs by name (3)
2024-06-09T00:00:00.000Z,Pop quiz on understanding scope
2024-10-03T00:00:00.000Z,LLMOps versus MLOps
2024-10-13T00:00:00.000Z,Receiving JSON with the requests package
2024-06-10T00:00:00.000Z,Error handling with try-except
2024-09-08T00:00:00.000Z,Pipelines with Hugging Face
2024-11-05T00:00:00.000Z,The supervised learning workflow
2024-10-03T00:00:00.000Z,Ideation phase
2024-09-01T00:00:00.000Z,Categorical data in pandas
2024-10-13T00:00:00.000Z,API key authentication with requests
2024-09-02T00:00:00.000Z,Numerical EDA
2024-10-18T00:00:00.000Z,Using inherited methods
2024-08-14T00:00:00.000Z,What can a language model do?
2024-06-13T00:00:00.000Z,Pop quiz: what is efficient
2024-08-28T00:00:00.000Z,Adding the setup script
2024-09-01T00:00:00.000Z,Creating a Boolean encoding (4)
2024-10-03T00:00:00.000Z,The need for CI/CD
2024-09-05T00:00:00.000Z,Using NumPy to import flat files
2024-08-20T00:00:00.000Z,Plotting time-series data
2024-07-15T00:00:00.000Z,"Data strategy, resources, and people"
2024-10-13T00:00:00.000Z,Headers and status codes
2024-10-12T00:00:00.000Z,Constructing a URL with parameters (1)
2024-09-10T00:00:00.000Z,Normalizing text
2024-09-01T00:00:00.000Z,Cleaning variables (2)
2024-09-10T00:00:00.000Z,Generating a caption for an image
2024-07-20T00:00:00.000Z,Class-level attributes
2024-10-18T00:00:00.000Z,Writing your first package
2024-09-26T00:00:00.000Z,Relationships between distant words
2024-07-15T00:00:00.000Z,Best practices for AI democratization
2024-10-18T00:00:00.000Z,"Python, data science, & software engineering"
2024-07-21T00:00:00.000Z,Operator overloading: string representation
2024-10-13T00:00:00.000Z,Basic Authentication with requests
2024-07-15T00:00:00.000Z,Democratizing Artificial Intelligence
2024-09-02T00:00:00.000Z,Digging into the response
2024-10-13T00:00:00.000Z,Estimating embedding costs with tiktoken
