earned_at,xp_amount
2024-08-28T08:20:04.000Z,50
2024-07-14T12:03:35.000Z,25
2024-09-23T19:01:58.000Z,1
2024-06-15T02:49:38.000Z,35
2024-08-28T09:46:05.000Z,100
2024-10-04T17:43:34.000Z,50
2024-07-21T12:53:23.000Z,30
2024-09-01T18:15:35.000Z,35
2024-07-15T21:51:31.000Z,50
2024-07-20T23:27:27.000Z,50
2024-04-26T19:05:26.000Z,100
2024-08-20T21:07:31.000Z,100
2024-09-01T18:22:58.000Z,50
2024-10-18T19:26:46.000Z,50
2024-11-02T12:06:03.000Z,50
2024-08-21T18:01:41.000Z,50
2024-04-27T14:16:57.000Z,50
2024-09-02T11:57:46.000Z,50
2024-09-01T18:32:49.000Z,50
2024-08-17T19:43:45.000Z,1500
2024-09-02T11:59:07.000Z,100
2024-09-01T16:10:14.000Z,1
2024-09-10T16:38:17.000Z,1
2024-09-01T18:24:07.000Z,1
2024-09-01T17:03:44.000Z,50
2024-09-10T16:45:14.000Z,50
2024-09-02T12:38:39.000Z,35
2024-08-20T20:46:49.000Z,100
2024-06-10T18:57:37.000Z,50
2024-07-26T13:03:24.000Z,100
2024-10-03T19:35:27.000Z,50
2024-11-05T09:41:48.000Z,50
2024-08-13T18:02:11.000Z,50
2024-09-25T18:21:55.000Z,50
2024-04-27T15:51:37.000Z,84
2024-10-13T20:36:48.000Z,50
2024-06-09T21:08:56.000Z,50
2024-09-10T16:53:20.000Z,100
2024-07-20T20:36:09.000Z,1
2024-08-14T17:08:31.000Z,50
2024-09-05T22:46:30.000Z,50
2024-06-10T20:06:36.000Z,100
2024-08-13T17:56:42.000Z,50
2024-08-20T21:31:05.000Z,50
2024-08-21T18:22:49.000Z,50
2024-04-26T21:40:18.000Z,100
2024-10-18T20:52:26.000Z,30
2024-09-03T11:57:20.000Z,50
2024-04-26T12:13:55.000Z,50
2024-10-13T16:13:08.000Z,50
2024-07-21T12:43:53.000Z,50
2024-04-27T12:58:50.000Z,50
2024-07-20T19:57:42.000Z,35
2024-08-20T20:59:15.000Z,50
2024-08-28T06:09:25.000Z,100
2024-05-04T19:03:24.000Z,50
2024-09-01T17:54:07.000Z,50
2024-07-20T19:05:43.000Z,35
2024-09-01T16:43:31.000Z,1
2024-09-19T21:18:01.000Z,50
